Agent名称,发送的prompt,收到的内容,回合
A011_PA_KFC,"系统: （沿用既有规则；本回合额外：）
请严格遵循：你的回复第一行必须是：Agent=A011_PA_KFC | Round=1。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A011_PA_KFC | Round=1
【本周行动】你现在扮演：肯德基门店值班经理（州别：PA，连锁：肯德基）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A011_PA_KFC | Round=1
增晚高峰1人，周末控加班≤5%，提速控本。
推周中$6.99套餐+小食，拉动平日客流客单。
冷柜除霜点检，关键料保2天安全库存，降报损。",1
A012_PA_WY,"系统: （沿用既有规则；本回合额外：）
请严格遵循：你的回复第一行必须是：Agent=A012_PA_WY | Round=1。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A012_PA_WY | Round=1
【本周行动】你现在扮演：温迪门店值班经理（州别：PA，连锁：温迪）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A012_PA_WY | Round=1
周末增开一人班，平日收尾压30分钟，控工时与等候。
盘点牛肉/面包/生菜，提前补货，防断供。
深清油锅与检修排烟，消隐患，稳口感。",1
A013_PA_WY,"系统: （沿用既有规则；本回合额外：）
请严格遵循：你的回复第一行必须是：Agent=A013_PA_WY | Round=1。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A013_PA_WY | Round=1
【本周行动】你现在扮演：温迪门店值班经理（州别：PA，连锁：温迪）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A013_PA_WY | Round=1
1) 调整晚班排班增1人，应对晚高峰与外送单。
2) 周中盘点生菜/番茄/面包，提前补货，避免缺货。
3) 清洗维护油炸机与HVAC，降低能耗与安全风险。",1
A014_PA_WY,"系统: （沿用既有规则；本回合额外：）
请严格遵循：你的回复第一行必须是：Agent=A014_PA_WY | Round=1。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A014_PA_WY | Round=1
【本周行动】你现在扮演：温迪门店值班经理（州别：PA，连锁：温迪）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A014_PA_WY | Round=1
周末增派前台与炸台各1人，控等候与加班。
午市套餐降0.5美元，捆绑中杯饮，拉客单。
周三集中订货，检查冷链与油炸机，防断货。",1
A015_PA_WY,"系统: （沿用既有规则；本回合额外：）
请严格遵循：你的回复第一行必须是：Agent=A015_PA_WY | Round=1。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A015_PA_WY | Round=1
【本周行动】你现在扮演：温迪门店值班经理（州别：PA，连锁：温迪）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A015_PA_WY | Round=1
1) 调整晚班排班，控制工时至预算内
2) 推出午市套餐折扣，拉动客流
3) 盘点冷链库存，补货生菜番茄，检修油炸机安全",1
A016_PA_WY,"系统: （沿用既有规则；本回合额外：）
请严格遵循：你的回复第一行必须是：Agent=A016_PA_WY | Round=1。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A016_PA_WY | Round=1
【本周行动】你现在扮演：温迪门店值班经理（州别：PA，连锁：温迪）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A016_PA_WY | Round=1
高峰加配前台与得来速各1人，控时提满意度；午市突出$5套餐，带动客单；盘点生菜番茄，提前1天补货防断供。",1
A017_PA_RR,"系统: （沿用既有规则；本回合额外：）
请严格遵循：你的回复第一行必须是：Agent=A017_PA_RR | Round=1。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A017_PA_RR | Round=1
【本周行动】你现在扮演：罗伊罗杰门店值班经理（州别：PA，连锁：罗伊罗杰）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A017_PA_RR | Round=1

早晚高峰增2人，低谷单人值守，人工占比控至25%；午市推$6.99鸡腿堡+薯条套餐提客流；冷柜除霜与炸机保养，复核温度记录，补鸡肉/土豆。",1
A018_PA_RR,"系统: （沿用既有规则；本回合额外：）
请严格遵循：你的回复第一行必须是：Agent=A018_PA_RR | Round=1。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A018_PA_RR | Round=1
【本周行动】你现在扮演：罗伊罗杰门店值班经理（州别：PA，连锁：罗伊罗杰）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A018_PA_RR | Round=1
周末午晚高峰增派前台与后厨各1人，降等候与漏单；推出双层汉堡+饮料组合9.99，清理库存并拉单均价；全面校验冷链与油炸机温度，预防食安与降报废。",1
A019_PA_RR,"系统: （沿用既有规则；本回合额外：）
请严格遵循：你的回复第一行必须是：Agent=A019_PA_RR | Round=1。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A019_PA_RR | Round=1
【本周行动】你现在扮演：罗伊罗杰门店值班经理（州别：PA，连锁：罗伊罗杰）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A019_PA_RR | Round=1

调整晚高峰排班增2人，控等待<5分钟；核对鸡肉/面包库存，提前下单补货，防止断货；深清炸台与油烟罩，检查灭火装置，降低安全隐患。",1
A020_PA_RR,"系统: （沿用既有规则；本回合额外：）
请严格遵循：你的回复第一行必须是：Agent=A020_PA_RR | Round=1。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A020_PA_RR | Round=1
【本周行动】你现在扮演：罗伊罗杰门店值班经理（州别：PA，连锁：罗伊罗杰）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A020_PA_RR | Round=1
1.晚高峰增前台1人，缩短等候提升满意度。
2.周末鸡排堡减$1促销，去库存拉客流。
3.冷柜除霜保养，降能耗防故障。",1
A001_NJ_BK,"系统: （沿用既有规则；本回合额外：）
请严格遵循：你的回复第一行必须是：Agent=A001_NJ_BK | Round=2。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A001_NJ_BK | Round=2
【本周行动】你现在扮演：汉堡王门店值班经理（州别：NJ，连锁：汉堡王）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A001_NJ_BK | Round=2
优化排班：午高峰增2人，晚间减班，周工时降8%。
工作日午市推加$1小食包，带动客流与客单。
核查冷冻/油品/纸品，周四补货；保养油滤与消防。",2
A002_NJ_BK,"系统: （沿用既有规则；本回合额外：）
请严格遵循：你的回复第一行必须是：Agent=A002_NJ_BK | Round=2。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A002_NJ_BK | Round=2
【本周行动】你现在扮演：汉堡王门店值班经理（州别：NJ，连锁：汉堡王）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A002_NJ_BK | Round=2
高峰增配前台与厨房各1人，缩短等候控差评；午市加购1美元芝士/培根，提客单；冰淇淋机与油锅保养校温，降报废保安全。",2
A003_NJ_BK,"系统: （沿用既有规则；本回合额外：）
请严格遵循：你的回复第一行必须是：Agent=A003_NJ_BK | Round=2。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A003_NJ_BK | Round=2
【本周行动】你现在扮演：汉堡王门店值班经理（州别：NJ，连锁：汉堡王）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A003_NJ_BK | Round=2
优化班表：周末增2人，平日减1人，控人工比。
配合APP券推午市套餐，建议加购饮品，提客单。
清洁炸机滤油；补薯条/鸡块，防断货与投诉。",2
A004_NJ_BK,"系统: （沿用既有规则；本回合额外：）
请严格遵循：你的回复第一行必须是：Agent=A004_NJ_BK | Round=2。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A004_NJ_BK | Round=2
【本周行动】你现在扮演：汉堡王门店值班经理（州别：NJ，连锁：汉堡王）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A004_NJ_BK | Round=2
1)晚高峰增1名前台，缩短等候；2)周三小皇堡买一送一引流；3)盘点并补足薯条/鸡块两周量，清洗油锅降损耗。",2
A005_NJ_BK,"系统: （沿用既有规则；本回合额外：）
请严格遵循：你的回复第一行必须是：Agent=A005_NJ_BK | Round=2。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A005_NJ_BK | Round=2
【本周行动】你现在扮演：汉堡王门店值班经理（州别：NJ，连锁：汉堡王）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A005_NJ_BK | Round=2
优化排班：午晚高峰增1人，控制人力占比≤25%。
补货：面包、牛肉饼、薯条各+15%，油料与饮料糖浆足量。
设备与安全：炸锅滤油、清洗排烟，温度与过敏原标识复核。",2
A006_NJ_BK,"系统: （沿用既有规则；本回合额外：）
请严格遵循：你的回复第一行必须是：Agent=A006_NJ_BK | Round=2。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A006_NJ_BK | Round=2
【本周行动】你现在扮演：汉堡王门店值班经理（州别：NJ，连锁：汉堡王）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A006_NJ_BK | Round=2
午晚高峰各增1人，周二低峰合并岗控工时；工作日15-17点推小薯+饮品$2组合拉动闲时；盘点冷冻与油料，提前补货并清洗油锅降废损。",2
A007_NJ_KFC,"系统: （沿用既有规则；本回合额外：）
请严格遵循：你的回复第一行必须是：Agent=A007_NJ_KFC | Round=2。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A007_NJ_KFC | Round=2
【本周行动】你现在扮演：肯德基门店值班经理（州别：NJ，连锁：肯德基）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A007_NJ_KFC | Round=2
周末高峰增2人前台与打包，平日各班减0.5工时控成本；引导APP自取并设快取口，降外卖佣金提周转；周三补鸡腿薯条饮料，周一换油清洗炸机并防滑巡检。",2
A008_NJ_KFC,"系统: （沿用既有规则；本回合额外：）
请严格遵循：你的回复第一行必须是：Agent=A008_NJ_KFC | Round=2。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A008_NJ_KFC | Round=2
【本周行动】你现在扮演：肯德基门店值班经理（州别：NJ，连锁：肯德基）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A008_NJ_KFC | Round=2
1)周末延长营业1小时并增派2人，承接晚间客流。
2)配合App自提优惠，推动晚餐外带销量与客单。
3)冷柜温控巡检与油炸机保养，盘点鸡肉薯条，缺口即补货。",2
A009_NJ_KFC,"系统: （沿用既有规则；本回合额外：）
请严格遵循：你的回复第一行必须是：Agent=A009_NJ_KFC | Round=2。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A009_NJ_KFC | Round=2
【本周行动】你现在扮演：肯德基门店值班经理（州别：NJ，连锁：肯德基）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A009_NJ_KFC | Round=2
调整晚高峰排班，增设前台1人、厨房1人，缩短等候；推出午市套餐降$1，带动客流与饮料加购；冷柜维护与温度巡检，每班记录，防止原料损耗。",2
